ID	CITY	STATE	LAT_N	LONG_W
144	Detroit	CA	75.018278	-95.127724
145	Oklahoma City	CA	28.531308	-105.188468
146	Las Vegas	GA	53.288735	-120.342997
147	Portland	MI	20.393245	-111.442109
148	Memphis	NC	75.633785	-72.603168
149	Louisville	NY	29.57545	-114.752817
150	Baltimore	TX	58.740369	-73.352642
151	New York	TX	54.008195	-116.385481
152	Los Angeles	NY	71.637147	-80.566913
153	Chicago	NY	72.137636	-77.527807
154	Houston	FL	38.283654	-72.301059
155	Phoenix	NC	66.679569	-107.532308
156	Philadelphia	GA	29.107818	-75.685337
157	San Antonio	OH	79.996539	-85.99605
158	San Diego	TX	77.564027	-86.515441
159	Dallas	CA	44.488777	-80.100935
160	San Jose	NY	45.465677	-88.284214
161	Austin	PA	76.086844	-106.099676
162	Jacksonville	NC	78.480348	-97.86681
163	Fort Worth	IL	33.863888	-120.076799
164	Columbus	CA	76.699431	-123.17021
165	Charlotte	CA	61.359516	-109.527234
166	San Francisco	OH	42.972403	-77.470955
167	Indianapolis	FL	23.3549	-101.498415
168	Seattle	FL	65.574602	-100.180605
169	Denver	NC	38.745673	-84.319657
170	Washington	OH	37.968865	-121.871803
171	Boston	NY	22.206188	-70.586578
172	El Paso	MI	55.367579	-115.337273
173	Nashville	PA	58.860377	-83.937599
174	Detroit	FL	53.0409	-109.909294
175	Oklahoma City	MI	68.322135	-128.384452
176	Las Vegas	IL	55.396791	-74.333362
177	Portland	MI	70.191993	-113.87052
178	Memphis	GA	38.557524	-79.211929
179	Louisville	PA	76.229259	-71.503473
180	Baltimore	FL	78.234683	-95.921867
181	New York	GA	63.319236	-126.343124
182	Los Angeles	CA	57.948594	-117.381517
183	Chicago	NY	28.205977	-90.129958
184	Houston	IL	20.040174	-70.462587
185	Phoenix	TX	79.746178	-92.995627
186	Philadelphia	TX	60.981912	-80.197133
187	San Antonio	TX	77.398463	-126.996769
188	San Diego	MI	22.990875	-110.42944
189	Dallas	TX	69.935411	-125.856333
190	San Jose	IL	70.062412	-94.421704
191	Austin	CA	49.220304	-114.82911
192	Jacksonville	OH	22.765299	-82.184925
193	Fort Worth	GA	59.223222	-72.598278
194	Columbus	IL	69.863803	-98.004363
195	Charlotte	NC	41.011049	-108.971364
196	San Francisco	IL	27.541978	-95.606443
197	Indianapolis	IL	46.267567	-83.778954
198	Seattle	NC	67.383259	-112.770272
199	Denver	MI	22.983389	-118.750011
200	Washington	IL	65.879901	-74.048891
201	Boston	GA	57.008839	-101.635349
202	El Paso	NY	59.66587	-90.028036
203	Nashville	IL	61.619294	-108.587715
204	Detroit	TX	28.580044	-123.911576
205	Oklahoma City	GA	74.647277	-121.315632
206	Las Vegas	NY	21.112915	-115.783002
207	Portland	IL	73.74576	-118.479126
208	Memphis	IL	40.914375	-104.195049
209	Louisville	CA	57.636726	-119.549991
210	Baltimore	MI	32.557076	-100.982005
211	New York	NC	45.257073	-117.183266
212	Los Angeles	CA	25.866042	-74.563601
213	Chicago	MI	28.559709	-114.096589
214	Houston	TX	28.166638	-107.601788
215	Phoenix	IL	37.87228	-118.686903
216	Philadelphia	GA	65.521738	-115.449444
217	San Antonio	TX	41.194551	-104.556068
218	San Diego	NC	72.376022	-70.029654
219	Dallas	CA	64.632536	-116.170292
220	San Jose	NC	74.92581	-113.632897
221	Austin	NC	55.787783	-98.41974
222	Jacksonville	TX	74.314445	-123.463308
223	Fort Worth	OH	55.653741	-95.577439
224	Columbus	MI	27.83362	-99.050886
225	Charlotte	IL	69.244959	-77.648732
226	San Francisco	FL	43.297136	-107.835488
227	Indianapolis	FL	23.493879	-99.622026
228	Seattle	OH	52.132158	-95.401499
229	Denver	PA	27.765534	-85.492314
230	Washington	CA	74.000991	-127.537112
231	Boston	NY	69.506562	-127.789687
232	El Paso	CA	79.020196	-113.436368
233	Nashville	GA	77.043149	-101.405959
234	Detroit	FL	60.678289	-118.185572
235	Oklahoma City	TX	48.258692	-76.475466
236	Las Vegas	TX	61.141312	-127.55471
237	Portland	MI	35.997712	-119.272425
238	Memphis	TX	75.579191	-70.611079
239	Louisville	PA	27.834505	-83.546684
240	Baltimore	MI	47.861415	-120.1871
241	New York	OH	71.825886	-122.445469
242	Los Angeles	TX	31.394211	-70.891734
243	Chicago	CA	65.040768	-90.462629
244	Houston	NC	38.93507	-97.949096
245	Phoenix	MI	30.438859	-92.051239
246	Philadelphia	OH	53.764668	-94.694036
247	San Antonio	PA	30.330812	-74.209489
248	San Diego	OH	51.808461	-94.237352
249	Dallas	IL	67.730895	-70.149983
250	San Jose	IL	52.472168	-100.415417
251	Austin	CA	27.553863	-104.41176
252	Jacksonville	CA	72.027369	-100.71932
253	Fort Worth	OH	55.388907	-123.680658
254	Columbus	MI	64.58041	-70.470795
255	Charlotte	CA	29.734726	-99.299257
256	San Francisco	IL	57.19463	-86.071829
257	Indianapolis	NY	45.10477	-107.44696
258	Seattle	MI	37.201425	-96.669205
259	Denver	NC	32.739966	-129.041213
260	Washington	GA	75.394663	-84.799154
261	Boston	CA	48.389184	-84.020138
262	El Paso	PA	67.132169	-81.715569
263	Nashville	TX	66.612215	-99.362917
264	Detroit	OH	46.995932	-94.983222
265	Oklahoma City	OH	41.773673	-128.253209
266	Las Vegas	FL	25.149791	-80.524601
267	Portland	NC	48.946448	-124.590512
268	Memphis	IL	76.292676	-116.665812
269	Louisville	FL	28.020289	-109.841503
270	Baltimore	PA	52.693167	-110.392919
271	New York	NY	68.420903	-102.275273
272	Los Angeles	NY	23.872971	-127.868283
273	Chicago	CA	22.383069	-117.664082
274	Houston	NC	45.166072	-91.988078
275	Phoenix	NY	39.769816	-91.596595
276	Philadelphia	OH	29.813765	-104.024388
277	San Antonio	NY	63.928667	-95.888047
278	San Diego	TX	42.865674	-105.733925
279	Dallas	TX	46.723099	-77.943154
280	San Jose	NY	57.910651	-102.095412
281	Austin	FL	48.550218	-71.139853
282	Jacksonville	GA	26.091562	-94.653497
283	Fort Worth	TX	32.115875	-99.701663
284	Columbus	NY	77.822926	-102.962367
285	Charlotte	CA	44.368669	-104.191479
286	San Francisco	MI	66.103513	-86.207887
287	Indianapolis	TX	61.393673	-118.447048
288	Seattle	OH	48.750056	-82.534275
289	Denver	CA	25.636275	-77.645885
290	Washington	MI	56.200794	-85.134809
291	Boston	FL	70.85986	-102.948941
292	El Paso	IL	76.054326	-71.468118
293	Nashville	MI	57.263372	-103.385555
294	Detroit	MI	74.836976	-100.283405
295	Oklahoma City	CA	55.590774	-82.595013
296	Las Vegas	CA	77.766873	-101.099251
297	Portland	IL	28.008921	-112.974326
298	Memphis	GA	47.554992	-119.198322
299	Louisville	TX	68.329769	-114.058233
300	Baltimore	FL	63.653238	-82.999909
301	New York	NY	57.597785	-98.045403
302	Los Angeles	NC	76.264522	-125.441006
303	Chicago	FL	64.799807	-111.94099
304	Houston	FL	74.426904	-125.881749
305	Phoenix	NY	72.80063	-114.880084
306	Philadelphia	OH	50.941119	-70.515311
307	San Antonio	MI	47.657541	-108.504779
308	San Diego	IL	30.032086	-116.456839
309	Dallas	NC	33.555037	-111.543306
310	San Jose	MI	78.088234	-118.672729
311	Austin	OH	24.382947	-94.775224
312	Jacksonville	PA	20.693693	-102.692788
313	Fort Worth	OH	70.844012	-120.080341
314	Columbus	OH	48.215143	-109.814565
315	Charlotte	MI	79.753497	-80.885235
316	San Francisco	OH	27.475072	-105.261394
317	Indianapolis	NY	47.041899	-127.206392
318	Seattle	CA	51.963999	-96.182078
319	Denver	FL	70.007828	-107.696062
320	Washington	NY	48.116443	-88.608701
321	Boston	GA	75.68575	-96.809741
322	El Paso	NC	29.101134	-121.775955
323	Nashville	TX	77.350272	-112.266933
324	Detroit	NC	32.329309	-122.844319
325	Oklahoma City	OH	30.655519	-102.021862
326	Las Vegas	CA	54.3005	-110.117229
327	Portland	NC	32.384024	-111.772099
328	Memphis	MI	54.119504	-125.418901
329	Louisville	IL	35.013679	-121.708169
330	Baltimore	NC	40.110043	-102.831112
331	New York	OH	26.01493	-129.371759
332	Los Angeles	TX	74.671527	-87.089809
333	Chicago	GA	62.753773	-76.897097
334	Houston	IL	69.22659	-84.487212
335	Phoenix	CA	76.73685	-97.031545
336	Philadelphia	MI	55.586421	-115.35042
337	San Antonio	NY	52.511505	-92.010404
338	San Diego	GA	77.559591	-92.678883
339	Dallas	PA	34.903832	-78.2318
340	San Jose	MI	73.610819	-91.968259
341	Austin	GA	53.495926	-122.142038
342	Jacksonville	PA	71.719403	-83.366266
343	Fort Worth	CA	34.330649	-82.11075
344	Columbus	PA	50.319581	-105.014375
345	Charlotte	NC	61.193441	-116.843831
346	San Francisco	NY	22.719865	-112.746773
347	Indianapolis	PA	67.718167	-127.047883
348	Seattle	FL	61.286025	-88.459005
349	Denver	IL	38.99758	-70.280658
350	Washington	FL	69.024843	-107.050949
351	Boston	IL	24.243477	-129.577944
352	El Paso	PA	41.459406	-113.648549
353	Nashville	MI	20.118958	-92.197332
354	Detroit	GA	50.716423	-76.44827
355	Oklahoma City	TX	59.273312	-129.562642
356	Las Vegas	TX	79.141255	-98.841815
357	Portland	IL	34.163689	-82.266293
358	Memphis	NY	37.404276	-113.07915
359	Louisville	FL	52.442527	-101.458182
360	Baltimore	GA	33.696941	-77.901444
361	New York	PA	58.955206	-108.513445
362	Los Angeles	GA	79.721745	-85.260816
363	Chicago	TX	79.026288	-104.979925
364	Houston	TX	39.020592	-128.903671
365	Phoenix	OH	37.949676	-105.913013
366	Philadelphia	CA	53.915563	-105.020358
367	San Antonio	IL	57.255146	-126.435567
368	San Diego	CA	71.097546	-103.171739
369	Dallas	CA	28.26454	-102.857574
370	San Jose	OH	72.759289	-74.948325
371	Austin	NC	38.707726	-90.791804
372	Jacksonville	NC	47.66422	-120.456641
373	Fort Worth	MI	31.688791	-115.005617
374	Columbus	MI	24.547982	-101.99437
375	Charlotte	PA	71.96054	-110.665856
376	San Francisco	FL	71.448415	-113.408671
377	Indianapolis	GA	42.906628	-122.899779
378	Seattle	MI	63.495018	-124.906715
379	Denver	MI	39.756422	-116.276303
380	Washington	NY	25.688301	-114.367441
381	Boston	NY	48.081438	-125.462608
382	El Paso	CA	69.601679	-121.927325
383	Nashville	MI	67.887091	-124.809512
384	Detroit	NC	67.901199	-113.237476
385	Oklahoma City	PA	22.063155	-96.932467
386	Las Vegas	MI	41.762317	-122.340769
387	Portland	PA	27.363513	-101.589888
388	Memphis	TX	74.877875	-71.289533
389	Louisville	PA	79.780482	-86.115053
390	Baltimore	CA	42.301312	-119.77364
391	New York	TX	73.219956	-71.753559
392	Los Angeles	MI	47.549534	-117.204951
393	Chicago	CA	65.874775	-94.272916
394	Houston	NY	35.988479	-89.271863
395	Phoenix	MI	25.002501	-119.787934
396	Philadelphia	NC	55.031587	-79.928123
397	San Antonio	CA	35.934651	-104.495242
398	San Diego	NY	39.021059	-108.300342
399	Dallas	GA	79.949074	-75.475439
400	San Jose	FL	79.554336	-125.391961
401	Austin	IL	69.830885	-108.981461
402	Jacksonville	IL	55.983162	-107.13436
403	Fort Worth	NC	35.10912	-73.216363
404	Columbus	CA	69.860659	-96.766587
405	Charlotte	GA	60.181072	-81.302356
406	San Francisco	OH	21.321171	-117.151781
407	Indianapolis	CA	73.79541	-86.766346
408	Seattle	OH	30.799858	-125.256588
409	Denver	CA	37.51716	-74.433308
410	Washington	MI	76.141095	-99.750689
411	Boston	IL	62.313127	-91.67836
412	El Paso	OH	43.482951	-126.863978
413	Nashville	NY	47.038166	-96.934942
414	Detroit	GA	23.990569	-84.694874
415	Oklahoma City	FL	69.056427	-111.954121
416	Las Vegas	PA	72.933777	-78.905609
417	Portland	GA	36.000608	-84.570143
418	Memphis	OH	31.422045	-91.775415
419	Louisville	NY	65.78544	-101.177784
420	Baltimore	NC	37.883808	-99.161714
421	New York	MI	63.312098	-113.452607
422	Los Angeles	PA	47.965168	-82.060232
423	Chicago	GA	33.456491	-108.17056
424	Houston	GA	37.437947	-108.40049
425	Phoenix	CA	55.558249	-109.208912
426	Philadelphia	PA	46.938463	-88.664523
427	San Antonio	NC	41.138971	-73.585807
428	San Diego	GA	65.017994	-79.052123
429	Dallas	NY	63.621942	-76.713905
430	San Jose	FL	46.042583	-80.724712
431	Austin	NC	37.188547	-127.324917
432	Jacksonville	TX	75.692444	-120.696944
433	Fort Worth	PA	38.64713	-74.873859
434	Columbus	IL	41.968159	-72.598217
435	Charlotte	NC	43.486753	-102.861301
436	San Francisco	GA	31.00313	-106.577092
437	Indianapolis	GA	63.686019	-73.385579
438	Seattle	NY	28.270074	-98.401254
439	Denver	PA	36.902263	-124.0499
440	Washington	CA	20.901001	-112.74081
441	Boston	MI	23.755558	-118.832341
442	El Paso	IL	41.367793	-122.008451
443	Nashville	GA	74.231688	-94.372952
444	Detroit	OH	73.636982	-128.714797
445	Oklahoma City	MI	37.361976	-115.542413
446	Las Vegas	PA	34.476558	-90.250457
447	Portland	PA	45.403545	-128.251865
448	Memphis	NC	68.606626	-99.867912
449	Louisville	MI	73.016485	-95.961273
450	Baltimore	PA	32.341887	-71.815097
451	New York	IL	78.99487	-81.576631
452	Los Angeles	MI	64.471569	-129.248756
453	Chicago	NY	43.211886	-74.376649
454	Houston	OH	56.906765	-79.562794
455	Phoenix	PA	33.556593	-79.603265
456	Philadelphia	FL	29.023242	-111.238883
457	San Antonio	IL	36.971365	-112.206287
458	San Diego	MI	28.919259	-117.83514
459	Dallas	TX	25.806496	-89.065347
460	San Jose	IL	20.802794	-72.472824
461	Austin	GA	64.751272	-90.619863
462	Jacksonville	NC	36.012213	-114.900736
463	Fort Worth	FL	29.298981	-116.102831
464	Columbus	OH	44.743646	-88.742984
465	Charlotte	NC	58.654087	-118.691691
466	San Francisco	NC	63.407954	-110.037486
467	Indianapolis	GA	48.08904	-106.965318
468	Seattle	GA	39.363829	-85.357158
469	Denver	NY	59.728698	-114.43486
470	Washington	GA	30.920533	-115.581879
471	Boston	GA	43.215908	-116.253915
472	El Paso	GA	53.188099	-115.237562
473	Nashville	NC	64.349049	-118.246677
474	Detroit	IL	72.087239	-82.326784
475	Oklahoma City	NC	35.510927	-122.990183
476	Las Vegas	PA	49.485246	-94.733311
477	Portland	GA	36.574824	-116.121562
478	Memphis	NY	58.656053	-114.991534
479	Louisville	NY	79.800151	-101.783235
480	Baltimore	PA	61.585484	-88.260045
481	New York	TX	60.647222	-77.418275
482	Los Angeles	OH	22.479366	-107.991969
483	Chicago	GA	33.704427	-86.030399
484	Houston	NC	39.137155	-97.117183
485	Phoenix	NY	25.770516	-76.258472
486	Philadelphia	IL	66.814747	-129.07426
487	San Antonio	MI	26.116095	-82.376076
488	San Diego	NC	76.952288	-118.2033
489	Dallas	GA	39.854825	-125.051699
490	San Jose	GA	66.147881	-87.88415
491	Austin	IL	54.011665	-99.5494
492	Jacksonville	GA	57.652285	-95.45826
493	Fort Worth	GA	53.280752	-86.344101
494	Columbus	PA	47.967785	-116.689225
495	Charlotte	IL	58.857268	-70.450422
496	San Francisco	NC	76.747348	-114.811795
497	Indianapolis	GA	45.268597	-121.059177
498	Seattle	GA	54.072595	-121.248424
499	Denver	OH	31.019597	-76.727012
500	Washington	TX	25.682266	-80.679326
501	Boston	FL	49.806416	-102.500671
502	El Paso	IL	66.189096	-75.238828
503	Nashville	IL	57.964992	-114.352941
504	Detroit	FL	72.986042	-78.380764
505	Oklahoma City	GA	79.324009	-98.697878
506	Las Vegas	CA	75.475207	-104.043153
507	Portland	PA	73.404283	-125.67445
508	Memphis	FL	22.778191	-81.400813
509	Louisville	IL	32.995109	-127.84389
510	Baltimore	TX	27.534975	-99.502513
511	New York	NY	51.22387	-90.122477
512	Los Angeles	FL	41.63798	-98.254818
513	Chicago	NY	69.86754	-74.76475
514	Houston	TX	79.254041	-71.121987
515	Phoenix	GA	24.139488	-98.83016
516	Philadelphia	IL	69.174657	-103.835817
517	San Antonio	MI	25.085195	-71.150787
518	San Diego	OH	27.355317	-76.465601
519	Dallas	IL	44.419778	-74.072513
520	San Jose	MI	62.838876	-75.768927
521	Austin	FL	77.485256	-106.487368
522	Jacksonville	FL	35.607564	-103.433451
523	Fort Worth	TX	55.490834	-126.242571
524	Columbus	NY	47.574904	-111.703782
525	Charlotte	FL	49.802809	-87.641427
526	San Francisco	MI	79.708115	-78.906988
527	Indianapolis	NY	73.440121	-91.233754
528	Seattle	NC	45.834785	-105.443714
529	Denver	PA	54.583185	-88.357584
530	Washington	PA	68.803185	-108.519579
531	Boston	OH	75.663707	-75.935623
532	El Paso	FL	25.019425	-110.333221
533	Nashville	TX	48.299608	-109.431322
534	Detroit	IL	64.342895	-127.850889
535	Oklahoma City	TX	36.412945	-100.375907
536	Las Vegas	MI	20.751945	-95.17187
537	Portland	NY	72.737118	-114.062633
538	Memphis	CA	62.101844	-101.918537
539	Louisville	PA	38.479027	-104.221118
540	Baltimore	IL	76.338509	-90.049774
541	New York	TX	23.608308	-101.971438
542	Los Angeles	NY	32.780083	-107.719479
543	Chicago	PA	36.553974	-120.590767
544	Houston	FL	44.78802	-97.671473
545	Phoenix	NY	46.373492	-73.763243
546	Philadelphia	OH	62.340176	-75.504593
547	San Antonio	MI	30.862819	-91.931247
548	San Diego	PA	32.847053	-86.067499
549	Dallas	FL	25.645951	-100.137307
550	San Jose	TX	68.392133	-110.416658
551	Austin	FL	59.482922	-105.686015
552	Jacksonville	IL	34.35837	-88.750153
553	Fort Worth	PA	51.627592	-77.499338
554	Columbus	IL	56.731439	-126.552251
555	Charlotte	PA	76.095741	-96.881629
556	San Francisco	IL	31.245916	-110.889565
557	Indianapolis	IL	55.954694	-104.517321
558	Seattle	NC	21.083059	-83.565902
559	Denver	CA	25.334199	-78.241676
560	Washington	PA	20.460623	-99.231005
561	Boston	MI	57.241837	-75.652709
562	El Paso	CA	67.776294	-116.167457
563	Nashville	TX	40.898042	-86.908979
564	Detroit	GA	27.90859	-77.547658
565	Oklahoma City	IL	34.180082	-129.605042
566	Las Vegas	OH	48.011012	-107.80184
567	Portland	FL	32.421625	-76.426289
568	Memphis	NC	75.772574	-126.2413
569	Louisville	TX	78.453206	-103.292088
570	Baltimore	PA	44.069242	-89.601481
571	New York	GA	63.720573	-92.398061
572	Los Angeles	FL	62.77704	-98.376743
573	Chicago	FL	66.464305	-77.181374
574	Houston	NY	75.358421	-82.302259
575	Phoenix	IL	27.414517	-129.591786
576	Philadelphia	NY	26.677951	-107.35847
577	San Antonio	FL	57.535577	-79.31189
578	San Diego	PA	28.093162	-77.344438
579	Dallas	OH	36.547543	-81.241289
580	San Jose	PA	39.305092	-78.458742
581	Austin	TX	46.610877	-121.305763
582	Jacksonville	IL	31.765731	-95.432507
583	Fort Worth	PA	36.860744	-70.264545
584	Columbus	IL	76.238098	-124.754387
585	Charlotte	GA	42.897408	-117.946023
586	San Francisco	GA	65.824645	-128.711169
587	Indianapolis	FL	79.677556	-81.474136
588	Seattle	NY	42.145138	-113.608592
589	Denver	TX	36.051999	-78.983717
590	Washington	TX	37.127191	-71.405135
591	Boston	PA	67.767333	-119.24633
592	El Paso	PA	33.360109	-96.968816
593	Nashville	IL	33.76595	-120.595452
594	Detroit	CA	68.713322	-115.534131
595	Oklahoma City	NC	54.068675	-114.306086
596	Las Vegas	CA	42.674622	-90.153838
597	Portland	CA	20.979647	-111.261084
598	Memphis	PA	34.241286	-78.92722
599	Louisville	FL	61.600981	-114.653328
600	Baltimore	FL	63.596497	-94.634793
601	New York	IL	65.686685	-90.716358
602	Los Angeles	PA	24.994227	-87.389124
603	Chicago	NC	29.229502	-96.376745
604	Houston	TX	50.488053	-103.882849
605	Phoenix	TX	26.647148	-105.366393
606	Philadelphia	FL	40.837671	-111.728675
607	San Antonio	PA	72.23958	-88.95107
608	San Diego	MI	76.69998	-119.827402
609	Dallas	PA	26.529205	-125.383599
610	San Jose	IL	79.688244	-122.876455
611	Austin	MI	34.332392	-85.768236
612	Jacksonville	PA	55.801497	-102.005894
613	Fort Worth	MI	61.62162	-85.189251
614	Columbus	NC	67.645903	-104.10179
615	Charlotte	CA	45.014558	-98.12094
616	San Francisco	MI	40.963039	-112.432511
617	Indianapolis	GA	69.365713	-127.504238
618	Seattle	IL	37.671132	-104.905283
619	Denver	NC	51.471738	-84.81032
620	Washington	PA	31.23492	-99.028801
621	Boston	NC	76.791242	-104.846532
622	El Paso	PA	52.717339	-125.825389
623	Nashville	FL	54.765077	-125.632448
624	Detroit	GA	78.466306	-122.107542
625	Oklahoma City	MI	22.213545	-122.683661
626	Las Vegas	NY	65.734544	-114.876607
627	Portland	CA	75.587899	-121.406643
628	Memphis	CA	27.297958	-81.298886
629	Louisville	FL	29.660947	-73.482691
630	Baltimore	OH	65.134295	-104.811473
631	New York	NC	29.356589	-107.400158
632	Los Angeles	NC	53.963219	-111.614117
633	Chicago	GA	43.875021	-129.734191
634	Houston	PA	34.599525	-111.701904
635	Phoenix	IL	48.642046	-72.289396
636	Philadelphia	NY	20.84672	-95.95952
637	San Antonio	NC	74.688524	-110.558702
638	San Diego	PA	68.283992	-96.892585
639	Dallas	NY	38.863783	-127.957693
640	San Jose	NC	36.710438	-128.916786
641	Austin	OH	47.343494	-116.106081
642	Jacksonville	OH	28.60276	-96.491521
643	Fort Worth	IL	67.091699	-120.663473
644	Columbus	GA	47.186728	-85.759461
645	Charlotte	OH	48.055545	-108.166286
646	San Francisco	IL	42.024434	-125.689038
647	Indianapolis	PA	28.358314	-76.588037
648	Seattle	FL	67.95284	-120.260438
649	Denver	FL	73.760284	-95.813129
650	Washington	IL	69.192923	-102.844322
651	Boston	OH	27.645011	-78.597851
652	El Paso	OH	66.907166	-78.561872
